galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
NGC3741,1.9671203517052078,5,NGC3741_rotmod.dat,1.2596533292786494,1.18629699533103,0.0008598100931159,21.0,Peak,0.032879648294792174,0.23287964829479235
NGC3769,1.4697564895383821,5,NGC3769_rotmod.dat,1.0632641887833227,0.7044986410234806,0.0063923050748106,10.0,Peak,0.5302435104616179,0.7302435104616181
NGC3877,2.781966359735565,5,NGC3877_rotmod.dat,0.7121977411047823,2.9999999999858367,0.1536880443698354,11.0,Diffus,0.781966359735565,0.0
NGC3893,1.3335147813288708,5,NGC3893_rotmod.dat,2.2439730492378875,0.3392070558413332,0.0021284978211103,9.0,Peak,0.6664852186711292,0.8664852186711294
NGC3917,2.906339385453522,5,NGC3917_rotmod.dat,1.1265223233796249,1.0552824937068368,0.0030878924276569,16.0,Peak,0.906339385453522,0.10633938545352217
NGC3949,1.4732781624219535,5,NGC3949_rotmod.dat,2.9999999990199706,2.9999999910292843,0.0023311811184558,5.0,Diffus,0.5267218375780465,0.7267218375780466
NGC3953,1.400286875223212,5,NGC3953_rotmod.dat,0.5914295987373437,2.292991767571273,0.0075674160287879,8.0,Transition,0.599713124776788,0.7997131247767881
NGC3972,2.264233470040904,5,NGC3972_rotmod.dat,1.0918104450454744,2.9999999999999982,0.0032641814749147,10.0,Diffus,0.2642334700409039,0.0
NGC3992,1.1297322353524315,5,NGC3992_rotmod.dat,0.3391305399465788,3.0,0.0026251024198534,9.0,Diffus,0.8702677646475685,1.0702677646475687
NGC4010,2.087340378851997,5,NGC4010_rotmod.dat,2.9999999999999294,0.3365099732510371,0.0086469201271897,11.0,Peak,0.08734037885199708,0.1126596211480031
NGC4013,0.9393424668417614,5,NGC4013_rotmod.dat,1.5586870259350014,1.1783616831241974,0.0056232462481442,36.0,Peak,1.0606575331582386,1.2606575331582388
NGC4051,1.4169751991813835,5,NGC4051_rotmod.dat,0.7892597203929201,2.999999999999233,0.1149463767317196,6.0,Diffus,0.5830248008186165,0.7830248008186167
NGC4068,2.8851314854184453,5,,,,,,,0.8851314854184453,0.08513148541844551
NGC4085,2.427915925289768,5,NGC4085_rotmod.dat,2.999998565911348,2.9999995027488,0.0110598162428122,5.0,Diffus,0.42791592528976796,0.0
NGC4088,1.969629912017288,5,NGC4088_rotmod.dat,2.999999996908471,2.999999996668475,0.0067167314031007,5.0,Diffus,0.030370087982712013,0.2303700879827122
NGC4100,2.091507001428089,5,NGC4100_rotmod.dat,1.5334517274506472,0.3965878958699879,0.0095114367792504,24.0,Peak,0.09150700142808921,0.10849299857191097
NGC4138,0.7525723949662735,5,NGC4138_rotmod.dat,0.4146172800092659,3.0,0.0160062830858939,6.0,Diffus,1.2474276050337265,1.4474276050337267
NGC4157,1.9435997129247518,5,NGC4157_rotmod.dat,3.0,0.4071303081014025,0.0015981524699327,15.0,Peak,0.056400287075248245,0.2564002870752484
NGC4183,1.8684140091246477,5,NGC4183_rotmod.dat,0.5710676756759712,3.0,0.0043052345916638,23.0,Diffus,0.13158599087535228,0.33158599087535245
NGC4214,1.2702901463449126,5,NGC4214_rotmod.dat,0.548169053002701,2.9999999999990887,0.0064475502576727,14.0,Diffus,0.7297098536550874,0.9297098536550876
NGC4217,2.64816155288163,5,NGC4217_rotmod.dat,2.9999999999999227,1.6380858780258845,0.0018475379583494,8.0,Transition,0.6481615528816298,0.0
NGC4389,2.5236931946962162,5,,,,,,,0.5236931946962162,0.0
