galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar
NGC1003,113.0,1.7,36,NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",3.41,7.8204,11.2304
NGC1090,162.0,2.23,24,NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,36.0225,11.68139,47.70389
NGC1705,71.5,9.68,14,NGC1705,11,5.73,0.29,2,80.0,10.0,0.533,0.01,0.49,347.4,0.39,587.26,0.139,2.36,71.9,4.3,3,Le14,0.2665,0.18487000000000003,0.45137000000000005
NGC2366,49.4,5.92,26,NGC2366,10,3.27,0.16,2,68.0,5.0,0.236,0.005,1.08,31.98,0.65,113.98,0.647,6.94,50.2,3.2,3,Le14,0.118,0.8605100000000001,0.9785100000000001
NGC2403,135.0,5.24,73,NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",5.0205,4.25467,9.27517
NGC2683,155.0,10.0,11,NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",40.2075,1.86998,42.07748
NGC2841,289.0,7.07,50,NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",94.0605,13.000750000000002,107.06125
NGC2903,180.0,4.0,34,NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",40.9315,3.3941600000000003,44.32566
NGC2915,86.1,5.54,30,NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,0.3205,0.67564,0.99614
NGC2955,248.0,11.6,24,NGC2955,3,97.9,9.8,1,56.0,7.0,319.422,4.413,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,SG06,159.711,38.50217000000001,198.21317000000002
NGC2976,85.3,4.44,27,NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,Si03,1.6855,0.22876,1.91426
NGC2998,213.0,3.0,13,NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",75.451,31.18983,106.64083
NGC3109,66.3,3.2,25,NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",0.097,0.63441,0.73141
NGC3198,150.0,3.0,43,NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",19.1395,14.455770000000001,33.59527
NGC3521,206.0,6.25,41,NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",42.418,5.52482,47.94282
NGC3726,168.0,10.6,12,NGC3726,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",35.117,8.60909,43.72609
NGC3741,50.2,2.57,21,NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",0.014,0.24206,0.25606
NGC3769,118.0,10.4,12,NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",9.3395,7.35357,16.69307
NGC3877,170.0,5.7,13,NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",36.2675,1.9723900000000003,38.239889999999995
